date,consumption_mwh_day,temp_mean_c,is_holiday
2000-05-20,292.56579999996,14.9,0
2000-05-21,258.5397,15.6,0
2000-05-22,305.17089999996006,16.7,0
2000-05-23,314.78709999996,16.2,0
2000-05-24,315.25490000004004,16.7,0
2000-05-25,315.49835000004,19.2,0
2000-05-26,319.36014999996,20.9,0
2000-05-27,294.91340000004,17.1,0
2000-05-28,259.5252,15.6,0
2000-05-29,301.43690000004005,14.1,0
2000-05-30,311.75175,16.5,0
2000-05-31,315.32205000000005,17.8,0
2000-06-01,316.81689999996,14.7,0
2000-06-02,317.65160000004005,16.2,0
2000-06-03,292.22135000004,16.3,0
2000-06-04,260.47644999996,16.6,0
2000-06-05,310.27295000004,17.9,0
2000-06-06,318.48440000004,20.0,0
2000-06-07,320.63064999996004,21.1,0
2000-06-08,322.24974999996004,21.0,0
2000-06-09,325.56534999996,20.2,0
2000-06-10,299.14970000003996,18.7,0
2000-06-11,265.62,20.3,0
2000-06-12,316.31780000004005,21.0,0
2000-06-13,323.30315000004,19.3,0
2000-06-14,326.8236,19.8,0
2000-06-15,327.21459999996,20.1,0
2000-06-16,326.84135000004,21.0,0
2000-06-17,300.94929999996003,19.8,0
2000-06-18,266.70590000004006,18.4,0
2000-06-19,318.54165,20.8,0
2000-06-20,328.52405000004,,0
2000-06-21,322.33509999996,15.0,0
2000-06-22,270.13389999996,13.7,1
2000-06-23,297.08979999996,15.8,0
2000-06-24,283.06464999996,19.3,0
2000-06-25,258.60155000004,22.4,0
2000-06-26,314.50940000004005,21.4,0
2000-06-27,327.22760000004,20.3,0
2000-06-28,326.4483,20.9,0
2000-06-29,325.8417,23.4,0
2000-06-30,326.46159999996,19.3,0
2000-07-01,293.73695000004,17.6,0
2000-07-02,262.8573,20.7,0
2000-07-03,316.40064999996,17.6,0
2000-07-04,321.56664999996,14.5,0
2000-07-05,321.44615000004,16.7,0
2000-07-06,320.3253,19.3,0
2000-07-07,322.00944999996,20.4,0
2000-07-08,296.313,21.9,0
2000-07-09,265.63955000004,22.5,1
2000-07-10,319.04205,23.0,0
2000-07-11,330.60894999996,23.5,0
2000-07-12,326.07590000004,18.1,0
2000-07-13,318.96885000000003,12.4,0
2000-07-14,317.8371,11.1,0
2000-07-15,292.90850000004,,0
2000-07-16,255.44930000004,14.7,0
2000-07-17,297.72950000004,9.7,0
2000-07-18,306.05814999996005,,0
2000-07-19,312.19419999996,,0
2000-07-20,312.25494999996,,0
2000-07-21,315.58614999996,,0
2000-07-22,297.29960000004,19.0,0
2000-07-23,263.78889999996,,0
2000-07-24,304.50419999999997,,0
2000-07-25,314.71869999996,,0
2000-07-26,316.53860000004,,0
2000-07-27,315.89240000004,13.6,0
2000-07-28,314.98545,15.6,0
2000-07-29,290.48604999996,16.0,0
2000-07-30,259.7391,17.0,0
2000-07-31,308.63739999996,16.3,0
2000-08-01,318.56574999995996,16.0,0
2000-08-02,322.44410000004,19.5,0
2000-08-03,324.59295,17.2,0
2000-08-04,322.52415,12.6,0
2000-08-05,290.4996,11.7,0
2000-08-06,257.26095,16.2,0
2000-08-07,312.12800000004,19.5,0
2000-08-08,322.12250000003996,22.3,0
2000-08-09,326.16395000004,22.5,0
2000-08-10,327.36609999996,15.1,0
2000-08-11,323.60364999996,11.7,0
2000-08-12,289.75880000004,9.1,0
2000-08-13,254.52585,11.3,0
2000-08-14,308.72214999996,15.2,0
2000-08-15,317.08565000004,19.4,0
2000-08-16,323.80695,14.8,0
2000-08-17,324.92724999996,15.9,0
2000-08-18,323.62179999996005,16.8,0
2000-08-19,294.64505000004004,15.3,0
2000-08-20,264.31305000000003,18.8,0
2000-08-21,313.74924999996,22.4,0
2000-08-22,324.83625,22.7,0
2000-08-23,329.2602,22.7,0
2000-08-24,334.75965,22.6,0
2000-08-25,336.93525,25.4,0
2000-08-26,312.20274999996,25.3,0
2000-08-27,279.12465,18.3,0
2000-08-28,325.33569999995996,16.4,0
2000-08-29,321.7578,15.6,0
2000-08-30,320.63199999996,15.8,0
2000-08-31,327.1047,17.9,0
2000-09-01,328.57275500004,17.2,0
2000-09-02,300.65885000004,13.8,0
2000-09-03,262.72995000000003,12.6,0
2000-09-04,307.08129999996004,12.6,0
2000-09-05,316.10214999996003,14.4,0
2000-09-06,319.03155000000004,15.2,0
2000-09-07,275.6478,16.3,1
2000-09-08,299.67054999996003,,0
2000-09-09,286.1445,,0
2000-09-10,263.98959999996,22.6,0
2000-09-11,324.13209999996,25.3,0
2000-09-12,334.2669,20.5,0
2000-09-13,335.09394999996,20.8,0
2000-09-14,333.80540000004004,22.4,0
2000-09-15,336.84045,23.3,0
2000-09-16,305.78510000004,17.0,0
2000-09-17,269.0094,15.5,0
2000-09-18,320.18925,18.2,0
2000-09-19,333.73895000004,20.3,0
2000-09-20,336.98792000004,23.0,0
2000-09-21,340.24524999996,25.6,0
2000-09-22,339.95315000004007,18.8,0
2000-09-23,311.24034999996,19.6,0
2000-09-24,280.44965000004004,,0
2000-09-25,325.22069999999997,13.2,0
2000-09-26,322.72565000004,11.7,0
2000-09-27,319.86845000003996,14.9,0
2000-09-28,319.56350000004,18.2,0
2000-09-29,326.43414999996,19.1,0
2000-09-30,301.18185,18.6,0
2000-10-01,260.21295,19.6,0
2000-10-02,321.14385,23.5,0
2000-10-03,337.61855000004005,26.8,0
2000-10-04,340.90425,25.1,0
2000-10-05,343.0137,21.2,0
2000-10-06,338.58024999996,18.7,0
2000-10-07,305.3118,18.7,0
2000-10-08,270.08222608692,18.5,0
2000-10-09,325.87734999996,21.6,0
2000-10-10,338.90229999996,23.8,0
2000-10-11,342.81339999996004,22.6,0
2000-10-12,294.42714999995997,25.7,1
2000-10-13,330.01820000004,23.9,0
2000-10-14,309.65559999996,20.6,0
2000-10-15,279.1644,20.7,0
2000-10-16,335.16279999996004,23.1,0
2000-10-17,348.8433,24.3,0
2000-10-18,352.86935000004,24.6,0
2000-10-19,354.83795000004,23.4,0
2000-10-20,353.91519999995995,25.2,0
2000-10-21,320.98155,22.0,0
2000-10-22,285.60080000004,21.3,0
2000-10-23,344.59475000004,25.6,0
2000-10-24,350.96585000004,24.2,0
2000-10-25,350.54165000004,21.1,0
2000-10-26,350.62460000004,22.6,0
2000-10-27,351.2025,23.6,0
2000-10-28,317.30979999996003,20.4,0
2000-10-29,269.64560000003996,17.0,0
2000-10-30,319.88784999996,18.8,0
2000-10-31,328.11455000004,20.9,0
2000-11-01,328.42475000004004,20.8,0
2000-11-02,289.30899999996,23.7,1
2000-11-03,323.6775,21.6,0
2000-11-04,300.50090000004,21.1,0
2000-11-05,269.72235,21.7,0
2000-11-06,325.68894999995996,21.0,0
2000-11-07,328.81899999996,20.1,0
2000-11-08,324.51459999996,19.7,0
2000-11-09,328.73375000004,20.7,0
2000-11-10,333.42815000004,21.4,0
2000-11-11,307.48659999996,21.0,0
2000-11-12,275.29290000000003,23.6,0
2000-11-13,327.86589999996,24.7,0
2000-11-14,332.12784999996,19.0,0
2000-11-15,280.29489999996,18.1,1
2000-11-16,316.03940000004,19.0,0
2000-11-17,323.29449999996,19.8,0
2000-11-18,294.04299999996,17.8,0
2000-11-19,260.77194999996,20.7,0
2000-11-20,314.83785,23.9,1
2000-11-21,334.25405000004,,0
2000-11-22,332.09270000004,21.4,0
2000-11-23,334.15125,21.4,0
2000-11-24,339.07494999996,24.6,0
2000-11-25,312.61539999996,21.9,0
2000-11-26,273.91434999996,20.0,0
2000-11-27,324.2262,21.8,0
2000-11-28,334.5405,24.3,0
2000-11-29,340.61514999996,24.1,0
2000-11-30,340.85229999996,,0
2000-12-01,329.13335000003997,17.8,0
2000-12-02,298.56365000004,18.8,0
2000-12-03,268.1436,23.3,0
2000-12-04,330.65045000004,23.2,0
2000-12-05,338.54325,21.7,0
